K,eta,C,trigger_probability,expected_payoff,fair_premium,premium_with_loading
3500,0.1,5000,0.005,22.86565173293443,22.86565173293443,27.438782079521317
3500,0.1,7500,0.004,27.418085393082382,27.418085393082382,32.901702471698854
3500,0.1,10000,0.006,54.779421742156785,54.779421742156785,65.73530609058814
3500,0.1,12500,0.007,80.11400156368259,80.11400156368259,96.13680187641911
3500,0.1,15000,0.0075,102.92170827190431,102.92170827190431,123.50604992628516
3500,0.2,5000,0.0735,337.8006793675638,337.8006793675638,405.3608152410766
3500,0.2,7500,0.065,447.3071822740485,447.3071822740485,536.7686187288582
3500,0.2,10000,0.069,633.7946746461116,633.7946746461116,760.5536095753339
3500,0.2,12500,0.0675,774.5644860751893,774.5644860751893,929.4773832902271
3500,0.2,15000,0.055,756.9619040431296,756.9619040431296,908.3542848517556
3500,0.3,5000,0.281,1296.1805990484377,1296.1805990484377,1555.4167188581253
3500,0.3,7500,0.282,1952.059207505895,1952.059207505895,2342.471049007074
3500,0.3,10000,0.2615,2413.321286428775,2413.321286428775,2895.9855437145297
3500,0.3,12500,0.258,2972.834064113403,2972.834064113403,3567.400876936084
3500,0.3,15000,0.2655,3672.4531891794254,3672.4531891794254,4406.9438270153105
3500,0.4,5000,0.5545,2570.92165581367,2570.92165581367,3085.105986976404
3500,0.4,7500,0.5475,3807.3629118610775,3807.3629118610775,4568.835494233293
3500,0.4,10000,0.573,5316.694354840837,5316.694354840837,6380.033225809005
3500,0.4,12500,0.557,6458.640408039875,6458.640408039875,7750.36848964785
3500,0.4,15000,0.56,7795.944752740668,7795.944752740668,9355.133703288802
3500,0.5,5000,0.7845,3660.19702742817,3660.19702742817,4392.236432913804
3500,0.5,7500,0.772,5407.75427551144,5407.75427551144,6489.305130613728
3500,0.5,10000,0.7655,7151.959480716282,7151.959480716282,8582.351376859539
3500,0.5,12500,0.777,9077.63506053847,9077.63506053847,10893.162072646164
3500,0.5,15000,0.7775,10895.617767735263,10895.617767735263,13074.741321282314
4000,0.1,5000,0.136,627.4559561310462,627.4559561310462,752.9471473572554
4000,0.1,7500,0.1495,1035.5941898262458,1035.5941898262458,1242.713027791495
4000,0.1,10000,0.139,1283.2557384432437,1283.2557384432437,1539.9068861318924
4000,0.1,12500,0.1395,1607.4485007885905,1607.4485007885905,1928.9382009463086
4000,0.1,15000,0.1425,1972.078982453711,1972.078982453711,2366.494778944453
4000,0.2,5000,0.475,2207.5143193692584,2207.5143193692584,2649.01718324311
4000,0.2,7500,0.4435,3089.6388859167996,3089.6388859167996,3707.5666631001595
4000,0.2,10000,0.4595,4266.1086709089805,4266.1086709089805,5119.330405090776
4000,0.2,12500,0.469,5442.038336960026,5442.038336960026,6530.446004352031
4000,0.2,15000,0.4705,6555.834398660764,6555.834398660764,7867.001278392917
4000,0.3,5000,0.77,3604.0372590336556,3604.0372590336556,4324.844710840386
4000,0.3,7500,0.754,5294.79973283741,5294.79973283741,6353.759679404892
4000,0.3,10000,0.758,7098.296005625213,7098.296005625213,8517.955206750255
4000,0.3,12500,0.7555,8839.560582987766,8839.560582987766,10607.472699585318
4000,0.3,15000,0.748,10499.166947068326,10499.166947068326,12599.000336481991
4000,0.4,5000,0.908,4290.280487803665,4290.280487803665,5148.336585364398
4000,0.4,7500,0.917,6496.731587410286,6496.731587410286,7796.077904892343
4000,0.4,10000,0.9165,8658.924423319419,8658.924423319419,10390.709307983301
4000,0.4,12500,0.907,10706.205251373533,10706.205251373533,12847.446301648239
4000,0.4,15000,0.914,12945.018185072855,12945.018185072855,15534.021822087425
4000,0.5,5000,0.9695,4619.126904909335,4619.126904909335,5542.952285891202
4000,0.5,7500,0.9695,6931.206273965612,6931.206273965612,8317.447528758734
4000,0.5,10000,0.9705,9241.404977554022,9241.404977554022,11089.685973064827
4000,0.5,12500,0.9745,11602.201669078775,11602.201669078775,13922.64200289453
4000,0.5,15000,0.9685,13842.724686170783,13842.724686170783,16611.26962340494
4500,0.1,5000,0.672,3157.8151000054936,3157.8151000054936,3789.3781200065923
4500,0.1,7500,0.6235,4400.272375012938,4400.272375012938,5280.326850015525
4500,0.1,10000,0.643,6041.444743895868,6041.444743895868,7249.733692675041
4500,0.1,12500,0.6405,7524.403797553063,7524.403797553063,9029.284557063675
4500,0.1,15000,0.634,8947.314397543307,8947.314397543307,10736.777277051968
4500,0.2,5000,0.879,4173.895833634972,4173.895833634972,5008.675000361966
4500,0.2,7500,0.8935,6367.056277302578,6367.056277302578,7640.467532763093
4500,0.2,10000,0.892,8470.13172190329,8470.13172190329,10164.158066283948
4500,0.2,12500,0.881,10468.231689038694,10468.231689038694,12561.878026846432
4500,0.2,15000,0.894,12735.493243672638,12735.493243672638,15282.591892407165
4500,0.3,5000,0.9685,4649.080257748412,4649.080257748412,5578.896309298094
4500,0.3,7500,0.9705,6989.443803365744,6989.443803365744,8387.332564038892
4500,0.3,10000,0.976,9368.628923229571,9368.628923229571,11242.354707875485
4500,0.3,12500,0.971,11655.35986330237,11655.35986330237,13986.431835962843
4500,0.3,15000,0.9745,14030.63543046323,14030.63543046323,16836.762516555875
4500,0.4,5000,0.992,4800.435138522738,4800.435138522738,5760.522166227286
