simulation_id,triggered,trigger_time,payoff,final_salary,min_salary,avg_salary
0,True,13.0,9680.224498313057,3431.027198120921,3431.027198120921,4177.53080697758
1,True,15.0,9631.944177208212,2844.2813462979184,2810.31102722373,3870.2027900880926
2,True,19.0,9536.104731326255,3101.355129175944,3101.355129175944,4062.3832635396875
3,True,10.0,9753.099120283323,3109.359477177226,3109.359477177226,3944.462427996604
4,True,13.0,9680.224498313057,3613.614822109354,3613.614822109354,4096.296192636415
5,True,9.0,9777.51237193336,2977.881596184577,2977.881596184577,3951.874735134644
6,True,16.0,9607.894391523227,3335.8881542374943,3334.7093010403614,4126.191167420166
7,True,10.0,9753.099120283323,3138.5628411026028,3138.5628411026028,4052.4871295583757
8,True,17.0,9583.904655209462,2697.351012858686,2697.351012858686,3976.299680147386
9,True,10.0,9753.099120283323,3137.9001954757923,3137.9001954757923,4096.7519329518655
10,True,26.0,9370.674633774024,3675.790112955205,3628.380329026519,4411.146509076944
11,True,29.0,9300.657466602774,3425.2788456354942,3381.6760077713584,4403.352484392087
12,True,28.0,9323.938199059472,3946.9570132417066,3946.9570132417066,4518.146645813322
13,True,11.0,9728.746825534536,3844.8006368538745,3797.833825916261,4422.108811424472
14,True,24.0,9417.645335842479,3843.437462411237,3785.13188580021,4470.485385663448
15,True,13.0,9680.224498313057,3652.277257991728,3652.277257991728,4354.567175663623
16,True,15.0,9631.944177208212,3020.0765630010715,3020.0765630010715,3940.1737057700543
17,True,10.0,9753.099120283323,2644.6152066521836,2644.6152066521836,3737.4422311324984
18,True,20.0,9512.294245007133,3795.76965327266,3708.9928087679477,4247.626050462956
19,True,11.0,9728.746825534536,3010.0645389729098,2989.4241126931643,3936.7054698931834
20,True,9.0,9777.51237193336,3412.4955938574717,3268.955074267394,3922.6997889691784
21,True,12.0,9704.455335485078,2811.4922180531516,2811.4922180531516,3808.2368399946063
22,True,17.0,9583.904655209462,3022.615589274976,2989.0124939769676,3968.5611421924978
23,True,30.0,9277.434863285518,3568.027869488603,3568.027869488603,4389.978854773894
24,True,19.0,9536.104731326255,3290.9061833023875,3290.9061833023875,4300.5770425865785
25,True,9.0,9777.51237193336,3236.8400768639303,3236.8400768639303,3934.852186051405
26,True,10.0,9753.099120283323,2426.99992956385,2426.99992956385,3723.3306983091443
27,True,21.0,9488.543210558004,3201.9420632472365,3197.4013108259137,4261.518721510568
28,True,14.0,9656.05416257566,2927.906975184757,2863.4352295654035,3837.7663248899576
29,True,18.0,9559.974818330991,3069.222474495548,3058.1003184144233,4152.927967518346
30,True,17.0,9583.904655209462,3092.19440219992,3092.19440219992,4061.366339298929
31,True,11.0,9728.746825534536,2433.7745726406347,2430.2796770288446,3529.9873929529417
32,True,14.0,9656.05416257566,3169.352037669472,3142.319700880326,3970.7553174661175
33,True,20.0,9512.294245007133,3888.282145008144,3752.663468319131,4462.499423587304
34,True,23.0,9441.218903864214,3432.0698911985955,3362.748566769312,4299.204707174927
35,True,25.0,9394.130628134748,3424.4651397425605,3407.2174122544975,4311.828683589958
36,True,26.0,9370.674633774024,3034.2421266628517,2963.449916975315,4113.6715577368395
37,True,10.0,9753.099120283323,2950.43200321199,2907.643552355902,3619.011400604007
38,True,12.0,9704.455335485078,2858.4137078619124,2858.4137078619124,3951.0721905612863
39,True,19.0,9536.104731326255,2820.630591976826,2798.970405314883,4017.0345771973602
40,True,18.0,9559.974818330991,3261.919859863406,3261.919859863406,4157.544791180416
41,True,14.0,9656.05416257566,2888.2514310159413,2888.2514310159413,4041.9515556446436
42,True,38.0,9093.7293446823,4115.30229989229,3959.996906588671,4652.089801139753
43,True,14.0,9656.05416257566,3321.828354128318,3321.828354128318,4251.326729360983
44,True,12.0,9704.455335485078,2982.3932714954,2982.3932714954,3726.6146043624485
45,True,15.0,9631.944177208212,3034.828434672537,3034.828434672537,4085.2233266505414
46,True,7.0,9826.522356650728,2872.3349960186883,2854.2068878341224,3660.3702793724683
47,True,15.0,9631.944177208212,3708.9223367923796,3701.0959408184285,4212.046549024269
48,True,12.0,9704.455335485078,3043.4577601008896,3043.4577601008896,3904.190474783694
49,True,16.0,9607.894391523227,3167.410909439311,3166.539566801898,4008.4867235520524
50,True,15.0,9631.944177208212,3517.8638430454653,3517.8638430454653,4202.366780021917
51,True,14.0,9656.05416257566,3547.8085273014476,3437.3251569644412,4038.9242288840687
52,True,20.0,9512.294245007133,3504.477225349263,3501.70682333628,4365.478243909032
53,True,17.0,9583.904655209462,3186.2702701293947,3183.0041102136547,4116.099480125367
54,True,8.0,9801.98673306755,2634.280861047833,2634.280861047833,3653.1744031708135
55,True,31.0,9254.270243966357,3756.8567082765762,3745.674766368152,4599.96971015952
56,True,9.0,9777.51237193336,2997.6559767358676,2968.43843617441,3732.6227220583137
57,True,22.0,9464.851479534831,3719.124713206032,3643.246275901725,4312.3502754465635
58,True,8.0,9801.98673306755,2811.577972437296,2805.865207994189,3798.0874695299713
59,True,14.0,9656.05416257566,3114.7270472606033,3114.7270472606033,3895.7656301642155
60,True,7.0,9826.522356650728,3252.63169335871,3252.63169335871,3938.4021813171785
61,True,19.0,9536.104731326255,3278.3467019946406,3158.862665576394,4044.8853796631206
62,True,18.0,9559.974818330991,3255.2043736936544,3255.2043736936544,4277.516601049256
63,True,13.0,9680.224498313057,3459.83405991768,3459.83405991768,4133.470001824399
64,True,10.0,9753.099120283323,2821.0117836434392,2812.890114053138,3844.2590412130435
65,True,26.0,9370.674633774024,3667.592633889933,3667.592633889933,4408.976522438257
66,True,14.0,9656.05416257566,2708.097915558442,2706.578795452541,3715.8976456189253
67,True,15.0,9631.944177208212,3198.2235288422858,3125.1432795808005,4010.0305337487257
68,True,6.0,9851.119396030625,2982.522953309205,2982.522953309205,3742.1247412146686
69,True,27.0,9347.277206160265,2912.627866633767,2912.627866633767,4258.379727370531
70,True,19.0,9536.104731326255,3285.589200439766,3277.9958145186733,4146.533090450543
71,True,19.0,9536.104731326255,2756.6223906031314,2756.6223906031314,3931.0339562571125
72,True,10.0,9753.099120283323,2891.7267894189413,2872.4986607557507,3922.8438658679815
73,True,9.0,9777.51237193336,2593.5318821345604,2593.5318821345604,3709.9872974670293
74,True,14.0,9656.05416257566,3714.0098095775334,3685.4181221864587,4329.507960005889
75,True,19.0,9536.104731326255,3589.526872231645,3553.6883562799694,4230.074992117187
76,True,12.0,9704.455335485078,3250.3825419583163,3250.3825419583163,3980.695725909434
77,True,16.0,9607.894391523227,3381.0371083798273,3300.305166100823,4008.648485383424
78,True,21.0,9488.543210558004,3377.63086612566,3289.6604029149303,4109.314982478691
79,True,12.0,9704.455335485078,3430.2116448725237,3430.2116448725237,4004.3916458492104
80,True,20.0,9512.294245007133,2795.224900852052,2751.439667480826,3972.8445251934913
81,True,17.0,9583.904655209462,3341.3824720291454,3341.3824720291454,4192.826273713448
82,True,32.0,9231.163463866347,3524.1222464708167,3524.1222464708167,4499.464073033203
83,True,13.0,9680.224498313057,3625.4272031721,3574.806902281113,4313.842446200636
84,True,17.0,9583.904655209462,3062.2407943482067,3062.2407943482067,4004.5217654616586
85,True,11.0,9728.746825534536,2888.860947470429,2888.860947470429,3726.009418660305
86,True,17.0,9583.904655209462,2814.3701536010326,2814.3701536010326,3861.333326390291
87,True,17.0,9583.904655209462,3326.808530760667,3199.9846037991733,4057.841709249807
88,True,29.0,9300.657466602774,3240.897665331056,3240.897665331056,4309.7363683693075
89,True,7.0,9826.522356650728,2784.196700573562,2726.474541730192,3637.0265714661514
90,True,11.0,9728.746825534536,2732.564291900559,2732.564291900559,3586.7537439076546
91,True,20.0,9512.294245007133,3303.9684780463253,3303.9684780463253,4212.846190613832
92,True,22.0,9464.851479534831,3190.7861904960164,3118.512824469741,4160.039950408804
93,True,12.0,9704.455335485078,2539.7085188912415,2539.7085188912415,3648.874666920047
94,True,19.0,9536.104731326255,3143.9417894316325,3109.9831869398954,4088.407400201238
95,True,9.0,9777.51237193336,2521.8224066259977,2521.8224066259977,3783.109788707446
96,True,9.0,9777.51237193336,3555.6391172447834,3555.6391172447834,4142.2627535917045
97,True,13.0,9680.224498313057,2678.749723077666,2678.749723077666,3789.649852779087
98,True,17.0,9583.904655209462,3165.8616907955093,3153.9764375597288,4135.707528525724
99,True,11.0,9728.746825534536,2897.3728861362392,2897.3728861362392,3775.019741520802
100,True,12.0,9704.455335485078,3520.8763265964863,3499.140484173923,4081.162251482701
