date,Sora,文生视频,AI视频,可灵,即梦
2023-01-01,0,0,6,0,0
2023-01-08,0,0,0,0,0
2023-01-15,0,0,0,0,0
2023-01-22,0,0,0,0,0
2023-01-29,0,0,6,0,0
2023-02-05,0,0,5,0,0
2023-02-12,0,0,0,0,0
2023-02-19,0,0,9,0,0
2023-02-26,1,0,7,0,0
2023-03-05,0,0,11,0,0
2023-03-12,0,0,6,0,0
2023-03-19,0,0,10,0,0
2023-03-26,0,0,11,0,0
2023-04-02,0,0,13,0,0
2023-04-09,0,0,11,0,0
2023-04-16,0,0,9,0,0
2023-04-23,0,0,9,0,0
2023-04-30,0,0,14,0,0
2023-05-07,1,0,10,0,0
2023-05-14,0,0,12,0,0
2023-05-21,0,0,17,0,0
2023-05-28,0,0,13,0,0
2023-06-04,0,0,10,0,0
2023-06-11,1,0,15,0,0
2023-06-18,1,0,12,0,0
2023-06-25,1,0,12,0,0
2023-07-02,0,0,9,0,0
2023-07-09,1,0,11,0,0
2023-07-16,0,0,12,0,0
2023-07-23,0,0,14,0,0
2023-07-30,1,0,8,0,0
2023-08-06,0,0,11,0,0
2023-08-13,0,0,9,0,0
2023-08-20,0,0,10,0,0
2023-08-27,0,0,12,0,0
2023-09-03,0,0,11,0,0
2023-09-10,0,0,10,0,0
2023-09-17,0,0,11,0,0
2023-09-24,0,0,12,0,0
2023-10-01,0,0,11,0,0
2023-10-08,0,0,11,0,0
2023-10-15,0,0,8,0,0
2023-10-22,0,0,11,0,0
2023-10-29,0,0,12,0,0
2023-11-05,1,0,19,0,0
2023-11-12,0,0,16,0,0
2023-11-19,0,0,19,0,0
2023-11-26,0,0,19,0,0
2023-12-03,1,0,22,0,0
2023-12-10,0,0,19,0,0
2023-12-17,0,0,14,0,0
2023-12-24,0,0,19,0,0
2023-12-31,0,0,16,0,0
2024-01-07,1,0,20,0,0
2024-01-14,1,0,16,0,0
2024-01-21,0,0,18,0,0
2024-01-28,1,0,19,0,0
2024-02-04,0,0,17,0,0
2024-02-11,48,0,24,0,0
2024-02-18,100,100,36,0,0
2024-02-25,27,53,21,0,0
2024-03-03,15,0,24,0,0
2024-03-10,11,0,22,0,0
2024-03-17,10,0,17,0,0
2024-03-24,9,0,25,0,0
2024-03-31,5,0,16,0,0
2024-04-07,6,0,13,0,0
2024-04-14,5,0,15,0,0
2024-04-21,4,0,22,0,0
2024-04-28,4,0,18,0,0
2024-05-05,4,0,18,0,0
2024-05-12,2,0,16,0,0
2024-05-19,3,0,19,0,0
2024-05-26,3,0,23,0,0
2024-06-02,3,56,21,15,0
2024-06-09,3,0,19,16,0
2024-06-16,3,0,21,19,0
2024-06-23,3,0,19,33,0
2024-06-30,3,0,26,54,0
2024-07-07,3,0,20,63,0
2024-07-14,3,0,20,48,0
2024-07-21,2,0,22,62,0
2024-07-28,2,0,24,43,0
2024-08-04,2,0,23,28,6
2024-08-11,2,0,18,30,0
2024-08-18,2,0,16,38,0
2024-08-25,2,0,23,18,0
2024-09-01,2,0,19,25,0
2024-09-08,2,0,20,25,0
2024-09-15,1,0,20,23,0
2024-09-22,2,68,15,28,7
2024-09-29,0,0,21,19,0
2024-10-06,2,0,16,28,0
2024-10-13,2,0,18,28,4
2024-10-20,2,0,18,29,5
2024-10-27,2,0,26,24,5
2024-11-03,1,0,17,29,0
2024-11-10,1,0,19,29,11
2024-11-17,2,0,20,33,10
2024-11-24,3,0,19,32,11
2024-12-01,2,0,21,29,18
2024-12-08,24,0,23,42,18
2024-12-15,7,0,20,52,25
2024-12-22,5,61,22,47,20
2024-12-29,4,0,25,72,20
2025-01-05,4,0,31,54,21
2025-01-12,4,0,20,73,20
2025-01-19,3,0,28,58,12
2025-01-26,2,0,34,27,14
2025-02-02,3,0,28,83,23
2025-02-09,3,0,33,94,43
2025-02-16,2,0,30,75,40
2025-02-23,2,0,31,79,47
2025-03-02,3,0,30,76,52
2025-03-09,2,0,28,61,42
2025-03-16,2,0,29,70,49
2025-03-23,3,57,32,59,43
2025-03-30,3,0,29,56,41
2025-04-06,2,0,23,55,46
2025-04-13,3,0,24,100,53
2025-04-20,4,0,28,69,51
2025-04-27,3,0,16,59,47
2025-05-04,3,0,25,49,41
2025-05-11,3,0,22,69,62
2025-05-18,2,0,24,58,59
2025-05-25,3,0,27,54,60
2025-06-01,3,0,28,57,58
2025-06-08,2,0,31,71,64
2025-06-15,3,0,28,62,65
2025-06-22,2,0,31,65,67
2025-06-29,2,0,25,78,63
2025-07-06,3,90,21,54,73
2025-07-13,3,0,28,68,67
2025-07-20,3,0,29,65,72
2025-07-27,2,0,29,53,71
2025-08-03,1,0,24,57,66
2025-08-10,2,0,24,61,66
2025-08-17,3,0,29,61,63
2025-08-24,2,0,29,69,68
2025-08-31,2,0,33,60,62
2025-09-07,2,0,29,67,85
2025-09-14,2,0,32,45,100
2025-09-21,2,0,48,55,80
2025-09-28,30,0,60,33,58
2025-10-05,46,0,79,54,67
2025-10-12,30,0,77,55,81
2025-10-19,22,0,78,47,80
2025-10-26,17,0,90,40,90
2025-11-02,15,0,96,48,88
2025-11-09,13,0,96,62,84
2025-11-16,13,40,95,47,85
2025-11-23,10,0,100,57,90
2025-11-30,11,0,99,67,85
2025-12-07,11,0,73,53,84
2025-12-14,8,0,60,50,77
2025-12-21,8,40,45,35,67
2025-12-28,7,0,32,30,48
